ADVANTEST CORP~45000~0.62%
FUJITSU LTD~20000~0.12%
FUKUOKA FINANCIAL GROUP INC, FUKUOKA~20000~0.12%
FURUKAWA CO LTD~30000~0.06%
FURUKAWA ELECTRIC CO LTD~20000~0.04%
GS YUASA CORP KYOTO~20000~0.11%
HEIWA REAL ESTATE CO LTD~5000~0.09%
HINO MTRS LTD~20000~0.32%
HITACHI CONSTRUCTION MACHINERY CO LTD~24000~0.58%
HITACHI LTD~20000~0.17%
HITACHI ZOSEN CORP~5000~0.03%
HOKUETSU KISHU PAPER CO LTD~25000~0.12%
HONDA MOTOR CO LTD~47000~1.70%
IHI CORP~30000~0.16%
INPEX CORP TOKYO~8000~0.11%
ISETAN MITSUKOSHI HOLDINGS LTD, TOKYO~24000~0.38%
ISUZU MOTORS LTD~10000~0.15%
ITOCHU CORP~24000~0.32%
J. FRONT RETAILING CO LTD~10000~0.16%
THE JAPAN STEEL WORKS LTD~30000~0.12%
JAPAN TOBACCO INC~24000~0.91%
JFE HOLDINGS INC TOKYO~3000~0.07%
JGC CORP FORMERLY JAPAN GASOLINE CORP~25000~0.68%
JTEKT CORP~24000~0.44%
JX HOLDINGS INC, TOKYO~24000~0.10%
KAJIMA CORP~30000~0.14%
KANSAI ELECTRIC POWER CO INC~3000~0.04%
KAO CORP~24000~1.05%
KAWASAKI HEAVY INDUSTRIES LTD~30000~0.14%
KAWASAKI KISEN KAISHA LTD~20000~0.06%
KDDI CORP~48000~3.54%
KEIO CORP~20000~0.17%
KEISEI ELECTRIC RAILWAY CO LTD~20000~0.26%
KIKKOMAN CORP~20000~0.56%
KIRIN HLDGS CO LTD~20000~0.28%
KOBE STEEL LTD~30000~0.05%
KOMATSU LTD~24000~0.63%
KONAMI CO LTD~23000~0.48%
KONICA MINOLTA INC~25000~0.32%
KUBOTA CORP~20000~0.34%
KURARAY CO LTD~22000~0.29%
KYOCERA CORP~47000~2.52%
KYOWA HAKKO KIRIN CO LTD~20000~0.25%
MARUBENI CORP~20000~0.14%
MARUHA NICHIRO CORP~4000~0.06%
MARUI CO LTD~24000~0.26%
MATSUI SECURITIES CO LTD TOKYO~24000~0.27%
MAZDA MOTOR CORP~6000~0.16%
MEIDENSHA CORPORATION VORMALS MEIDENSHA ELECTRIC MANUFACTURING CO LTD~20000~0.08%
MEIJI HOLDINGS CO LTD, TOKYO~3000~0.30%
MINEBEA CO LTD~20000~0.28%
MITSUBISHI CHEMICAL HOLDINGS CORP, TOKYO~15000~0.08%
MITSUBISHI CORP~22000~0.50%
MITSUBISHI ELECTRIC CORP~20000~0.28%
MITSUBISHI ESTATE CO LTD~20000~0.56%
MITSUBISHI HEAVY INDUSTRIES LTD~20000~0.13%
MITSUBISHI LOGISTICS CORP~20000~0.36%
MITSUBISHI MATERIALS CORP~30000~0.11%
MITSUBISHI MOTORS CORP~3000~0.04%
MITSUBISHI UFJ FINANCIAL GROUP INC~24000~0.15%
MITSUI & CO LTD~24000~0.38%
MITSUI CHEMICALS INC~30000~0.09%
MITSUI ENGINEERING & SHIPBUILDING CO LTD~30000~0.07%
MITSUI FUDOSAN CO LTD (FORMERLY MITSUI REAL ESTATE DEVELOPMENT CO LTD)~30000~1.06%
MITSUI MINING & SMELTING CO LTD~30000~0.09%
MITSUI O S K LINES LTD NEW TOKYO~20000~0.07%
MITSUMI ELECTRIC CO LTD~24000~0.20%
MIZUHO FINANCIAL GROUP INC TOKYO~24000~0.05%
MS&AD INSURANCE GROUP HOLDINGS INC~7000~0.17%
NGK INSULATORS LTD~20000~0.53%
NEC CORP~30000~0.11%
NOT AVAILABLE~20000~0.48%
NICHIREI CORP~20000~0.10%
NIKON CORP~21000~0.33%
NIPPON ELECTRIC GLASS CO LTD~30000~0.15%
NIPPON EXPRESS CO LTD~20000~0.11%
NIPPON KAYAKU CO LTD~20000~0.29%
NIPPON LT METAL HLDGS CO LTD~30000~0.05%
NIPPON PAPER INDUSTRIES CO LTD~3000~0.05%
NIPPON SHEET GLASS CO LTD~30000~0.03%
NIPPON SODA CO LTD~20000~0.13%
NIPPON STEEL & SUMITOMO METAL CORP, TOKYO~30000~0.09%
NIPPON SUISAN KAISHA LTD~24000~0.09%
NIPPON TELEGRAPH & TELEPHONE CORP NTT~3000~0.19%
NIPPON YUSEN KK~30000~0.09%
NISSAN CHEMICAL INDUSTRIES LTD~24000~0.51%
NISSAN MOTOR CO LTD~24000~0.25%
NISSHIN SEIFUN GROUP INC~25300~0.29%
NISSHIN STL HLDGS CO LTD~3000~0.03%
NISSHINBO HOLDINGS INC~20000~0.22%
NITTO BOSEKI CO LTD~30000~0.13%
NITTO DENKO CORP FORMERLY NITTO ELECTRIC INDUSTRIAL CO LTD~23000~1.39%
NOMURA HOLDINGS INC~24000~0.17%
NSK LTD FORMERLY NIPPON SEIKO KK~20000~0.29%
NTN CORP FORMERLY NTN TOYO BEARING CO LTD~20000~0.10%
NTT DATA CORP~23000~0.99%
NTT MOBILE COMMUNICATIONS NETWORK INC NTT DOCOMO TOKYO~3000~0.05%
OBAYASHI CORP FORMERLY OHBAYASHI CORP~20000~0.15%
ODAKYU ELECTRIC RAILWAY CO LTD~20000~0.21%
OJI HLDGS CORP~20000~0.08%
OKI ELECTRIC INDUSTRY CO LTD~30000~0.07%
OKUMA CORP~20000~0.17%
OLYMPUS CORP~24000~1.03%
OSAKA GAS CO LTD~30000~0.13%
PACIFIC METALS CO LTD~20000~0.07%
MATSUSHITA ELECTRIC INDUSTRIAL CO LTD~24000~0.34%
PIONEER CORP, TOKYO~3000~0.01%
RESONA HOLDINGS INC OSAKA~3000~0.02%
RICOH CO LTD TOKYO~20000~0.24%
SAPPORO HOLDINGS LTD~20000~0.10%
DAINIPPON SCREEN MFG CO LTD~20000~0.15%
SECOM CO LTD~24000~1.67%
SEKISUI HOUSE LTD~20000~0.31%
SEVEN & I HOLDINGS CO LTD, TOKYO~24000~1.06%
SHARP CORP OSAKA~10000~0.03%
SHIMIZU CORP FORMERLY SHIMIZU CONSTRUCTION CO LTD~30000~0.23%
SHIN-ETSU CHEMICAL CO LTD~23000~1.73%
SHINSEI BANK LTD, TOKYO~30000~0.06%
SHIONOGI & CO LTD~24000~0.69%
SHISEIDO CO LTD~24000~0.41%
SHIZUOKA BANK LTD~20000~0.23%
SHOWA DENKO KK~30000~0.04%
SHOWA SHELL SEKIYU KK~24000~0.23%
SKY PERFECT JSAT CORP~2000~0.01%
SOFTBANK CORP~71000~5.62%
SOJITZ CORP~2000~0.00%
NKSJ HOLDINGS INC~5000~0.15%
SONY CORP~23000~0.54%
SONY FINANCIAL HOLDINGS INC, TOKYO~6000~0.11%
SUMCO CORP, TOKYO~3000~0.04%
SUMITOMO CHEMICAL CO LTD~20000~0.08%
SUMITOMO CORP~24000~0.29%
DAINIPPON SUMITOMO PHARMA CO LTD~18000~0.23%
SUMITOMO ELECTRIC INDUSTRIES LTD~24000~0.36%
SUMITOMO HEAVY INDUSTRIES LTD~20000~0.12%
SUMITOMO METAL MINING CO LTD~20000~0.33%
SUMITOMO MITSUI FINANCIAL GROUP INC TOKYO~3000~0.13%
SUMITOMO MITSUI TRUST HOLDINGS INC~30000~0.14%
SUMITOMO OSAKA CEMENT CO LTD~30000~0.10%
SUMITOMO REALTY & DEVELOPMENT CO LTD~20000~0.89%
SUZUKI MOTOR CORP FORMERLY SUZUKI MOTOR CO LTD~24000~0.85%
T&D HOLDINGS INC TOKYO~5000~0.07%
TAIHEIYO CEMENT CORP TOKYO~30000~0.11%
TAISEI CORP~30000~0.18%
TAIYO YUDEN CO LTD~23000~0.31%
TAKARA HOLDINGS INC~20000~0.16%
TAKASHIMAYA CO LTD~20000~0.21%
TAKEDA PHARMACEUTICAL CO LTD~23000~1.11%
TDK CORP~22000~1.55%
TEIJIN LTD~30000~0.09%
TERUMO CORP~46000~1.30%
TOBU RAILWAY CO LTD~20000~0.11%
TOHO CO LTD~3000~0.08%
TOHO ZINC CO LTD~20000~0.08%
TOKAI CARBON CO LTD~20000~0.06%
TOKIO MARINE HOLDINGS INC~12000~0.44%
TOKUYAMA CORP~20000~0.05%
TOKYO DOME CORP FORMERLY KORAKUEN CO LTD~20000~0.09%
TOKYO ELECTRIC POWER CO INC~3000~0.01%
TOKYO ELECTRON LTD~24000~1.80%
TOKYO GAS CO LTD~20000~0.13%
TOKYO TATEMONO CO LTD~20000~0.20%
TOKYU CORP~20000~0.14%
TOKYU FUDOSAN HLDGS CORP~23000~0.20%
TOPPAN PRTG LTD~20000~0.15%
TORAY INDUSTRIES INC~20000~0.16%
TOSHIBA CORP~30000~0.15%
TOSOH CORP~30000~0.15%
TOTO LTD~20000~0.27%
TOYO SEIKAN KAISHA LTD~24000~0.34%
TOYOBO CO LTD~30000~0.05%
TOYOTA MOTOR CORP~23000~1.56%
TOYOTA TSUSHO CORP~24000~0.65%
TREND MICRO INC TOKYO~24000~0.87%
UBE INDUSTRIES LTD~30000~0.05%
UNITIKA LTD~30000~0.02%
UNY GROUP HLDGS CO LTD~9000~0.05%
WEST JAPAN RAILWAY COMPANY~3000~0.17%
YAHOO JAPAN CORP TOKYO~10000~0.04%
YAMAHA CORP~24000~0.38%
YAMATO HOLDINGS CO LTD~24000~0.60%
YASKAWA ELECTRIC CORP~20000~0.29%
YOKOGAWA ELECTRIC CORP~24000~0.36%
YOKOHAMA RUBBER CO LTD~20000~0.20%
As of 11/14/2014
